sid,kf_mean_error,kf_std_error,kf_forecast_count,lead_time_hours,null_mean_error,null_std_error,null_forecast_count,basin,nature,start_time,end_time,lat,lon,better_model
1842298N11080,52.41665070605804,79.27075871505134,30,6,56.66778901761763,75.64854853334944,30,NI,NR,1842-10-25 03:00:00,1842-11-02 03:00:00,10.9,80.3,Kalman Filter
1845336N10074,45.6544355607,48.658964383387705,40,6,55.63428126071941,52.621544497698686,40,NI,NR,1845-12-02 03:00:00,1845-12-05 03:00:00,10.0,74.3,Kalman Filter
1848112S07444,131.18866486727907,138.93149642865367,30,6,114.07288681356695,124.17792808797208,30,SI,NR,1848-04-20 18:00:00,1848-04-24 06:00:00,-7.1,83.7,Null Model
1851080S15062,46.71794799748714,52.13810807167801,30,6,52.838990968104454,43.757020273887036,30,SI,NR,1851-03-20 18:00:00,1851-03-26 06:00:00,-15.0,62.4,Kalman Filter
1851181N19275,26.476559406634617,24.664725258279518,30,6,23.256788937307576,26.61311618203623,30,,TS,1851-06-29 12:00:00,1851-07-04 12:00:00,19.0,-84.6,Null Model
1851214N14321,23.866731121934993,21.516048384619083,30,6,37.370000000000026,33.041699359320546,30,,TS,1851-08-01 12:00:00,1851-08-07 12:00:00,13.5,-39.0,Kalman Filter
1851241N27280,63.58895978516823,72.58682546382138,25,6,67.91725722346368,77.11678656810041,25,,TS,1851-08-28 12:00:00,1851-09-04 12:00:00,27.0,-80.0,Kalman Filter
1851254N34316,29.25190797913674,24.83222827402788,10,6,21.823123234897174,17.507813198152196,10,,TS,1851-09-10 12:00:00,1851-09-12 18:00:00,34.2,-44.2,Null Model
1851260N32298,70.11950772094436,79.54075371382588,30,6,71.0878718545018,84.50992655870027,30,,TS,1851-09-16 12:00:00,1851-09-27 12:00:00,31.5,-62.5,Kalman Filter
1851305S08089,56.49746817315291,59.73275191851926,30,6,57.03321614421795,64.2826676125513,30,SI,NR,1851-11-01 06:00:00,1851-11-07 06:00:00,-8.3,88.6,Kalman Filter
1852241N34278,57.39172499863367,47.36185982851154,25,6,74.7369106315947,64.76054775209606,25,,TS,1852-08-28 06:00:00,1852-08-31 12:00:00,33.6,-82.5,Kalman Filter
1852247N32318,197.04000152951343,227.96354729116828,30,6,141.23572538028168,166.5173259724763,30,,TS,1852-09-02 12:00:00,1852-09-06 12:00:00,32.0,-42.5,Null Model
1852264N13309,122.66897821905873,148.9334241239602,25,6,123.66655653986432,162.87228249013825,25,,TS,1852-09-20 00:00:00,1852-10-04 12:00:00,13.0,-50.6,Kalman Filter
1852266N17274,18.539643868537844,13.876011069987637,20,6,37.82982826493459,32.100403589489744,20,,TS,1852-09-21 12:00:00,1852-09-24 00:00:00,16.8,-86.1,Kalman Filter
1852278N14293,204.50222787419665,254.04112784839762,30,6,168.04757911654866,208.27720126721124,30,,TS,1852-10-03 12:00:00,1852-10-12 18:00:00,14.0,-67.0,Null Model
1853239N11302,84.82077595890273,90.62541511213482,30,6,79.18607116458183,95.97829269814152,30,,TS,1853-08-26 12:00:00,1853-09-03 12:00:00,10.5,-58.5,Null Model
1853251N24274,59.18855086984597,78.03305984270095,30,6,52.556555167809755,73.85271435513012,30,,TS,1853-09-07 12:00:00,1853-09-11 12:00:00,23.8,-86.0,Null Model
1853268N27293,182.5521162494614,220.15915987836902,30,6,167.55754552061154,223.17351131810804,30,,TS,1853-09-24 12:00:00,1853-09-29 18:00:00,26.5,-67.5,Null Model
1853318N20288,46.0090616712178,54.534594543828064,30,6,46.10957189444482,60.277426331409195,30,,TS,1853-11-13 12:00:00,1853-11-28 18:00:00,20.5,-72.0,Kalman Filter
1854176N26268,144.33530034501067,146.01918601440067,20,6,121.80506353586031,130.97878089260004,20,,TS,1854-06-25 00:00:00,1854-06-27 12:00:00,26.0,-92.5,Null Model
1854246N25300,161.85164618675688,298.9338993139011,30,6,163.18331486531275,269.4831445726992,30,,TS,1854-09-02 12:00:00,1854-09-12 18:00:00,24.5,-59.8,Kalman Filter
1854253N14303,71.41356924292845,90.32344476407799,30,6,77.86566429115734,90.50829257744185,30,,TS,1854-09-09 12:00:00,1854-09-15 12:00:00,14.0,-57.5,Kalman Filter
1854253N35280,208.9698362630469,235.5329364530186,30,6,172.44143581684037,216.9214894663324,30,,TS,1854-09-10 06:00:00,1854-09-14 12:00:00,35.4,-80.0,Null Model
1854258N13329,126.29490072991621,231.99634942673129,30,6,146.39229616779747,258.24765633709393,30,,TS,1854-09-15 06:00:00,1854-09-25 06:00:00,12.7,-31.0,Kalman Filter
1854259N24266,125.25516922284011,138.15780302778373,30,6,121.07503739499676,146.25270849398962,30,,TS,1854-09-16 06:00:00,1854-09-21 12:00:00,24.4,-94.3,Null Model
1854287N18296,122.43708290439,184.790895010218,30,6,103.9079261476426,158.2747010660327,30,,TS,1854-10-13 12:00:00,1854-10-27 12:00:00,17.5,-64.3,Null Model
1854293N25292,165.0215116367848,207.95683431190284,30,6,151.61459347294712,195.33382036854712,30,,TS,1854-10-20 00:00:00,1854-10-22 18:00:00,25.0,-67.6,Null Model
1854305S10073,72.65248063816874,70.30347760613749,25,6,68.2399456429125,69.44940386156435,25,SI,NR,1854-10-31 18:00:00,1854-11-05 06:00:00,-10.4,73.1,Null Model
1855021S14076,94.67871968288541,126.98408231043554,25,6,100.39914618066905,124.12053538608333,25,SI,NR,1855-01-21 06:00:00,1855-01-28 06:00:00,-14.0,75.6,Kalman Filter
1855263N24306,75.13070886287142,107.79688826436622,30,6,62.32284586986241,105.93829086925214,30,,TS,1855-09-19 12:00:00,1855-09-28 12:00:00,24.0,-54.0,Null Model
1855308N24311,68.57015343924037,100.37689931636264,30,6,72.94689978732592,97.8072526117631,30,,TS,1855-11-03 12:00:00,1855-11-09 12:00:00,24.0,-48.8,Kalman Filter
1856224N14330,112.15385704823562,138.05953860010874,30,6,63.54221919833217,67.91898317241925,30,,TS,1856-08-11 00:00:00,1856-08-23 12:00:00,14.0,-30.0,Null Model
1856232N33285,241.4191232657846,257.7882324504868,25,6,201.42390620388514,228.90719200482604,25,,TS,1856-08-19 00:00:00,1856-08-21 12:00:00,32.5,-75.5,Null Model
1856254N09333,82.5015401651085,87.0205929081185,30,6,92.58223594404241,122.664426056532,30,,TS,1856-09-10 06:00:00,1856-09-22 18:00:00,9.0,-27.0,Kalman Filter
1856272N11336,118.16164435992111,155.43981629211177,30,6,82.60479770640885,112.92516574870298,30,,TS,1856-09-27 12:00:00,1856-10-01 12:00:00,11.4,-23.6,Null Model
1857021S17059,94.54044393495583,106.71753370824949,30,6,89.89071170662166,103.79937562532312,30,SI,NR,1857-01-21 06:00:00,1857-01-26 06:00:00,-16.6,58.9,Null Model
1857039S15066,30.034661346157726,26.980885034685826,20,6,43.585610004919275,41.72426053712438,20,SI,NR,1857-02-07 18:00:00,1857-02-10 06:00:00,-15.0,66.0,Kalman Filter
1857174N26274,62.218244583863076,81.95498178701982,40,6,75.45126589658418,97.80005209361386,40,,TS,1857-06-22 12:00:00,1857-06-25 12:00:00,26.2,-86.5,Kalman Filter
1857229N16276,63.07937744914548,83.27608708216924,25,6,77.6622270797053,94.460347804111,25,,TS,1857-08-16 12:00:00,1857-08-23 12:00:00,15.8,-84.0,Kalman Filter
1857249N27286,121.09043208165554,182.41830443353905,30,6,93.9503014794699,131.67926638245308,30,,TS,1857-09-05 12:00:00,1857-09-18 06:00:00,26.8,-74.2,Null Model
1857261N16301,42.23415166639655,47.36361781939679,25,6,47.09417433586621,56.645350865724254,25,,TS,1857-09-17 12:00:00,1857-09-30 18:00:00,16.0,-59.5,Kalman Filter
1857290N32325,41.63979532153165,59.27391319275657,30,6,53.19102078784969,60.881132128796,30,,TS,1857-10-16 12:00:00,1857-10-23 18:00:00,32.0,-35.5,Kalman Filter
1857313N17300,94.14441489725613,135.85384703739874,25,6,98.51635395355737,132.333344290291,25,,TS,1857-11-08 12:00:00,1857-11-15 12:00:00,17.3,-60.5,Kalman Filter
1858052S12061,40.79071741813152,47.44820044160333,30,6,56.7752874854478,54.58275334588902,30,SI,NR,1858-02-21 06:00:00,1858-02-27 06:00:00,-12.4,60.5,Kalman Filter
1858091S12048,100.49866853126777,106.38069869399264,30,6,93.77580638492188,103.2337474659176,30,SI,NR,1858-04-01 06:00:00,1858-04-05 06:00:00,-12.3,48.1,Null Model
1858257N15325,61.729219893606434,93.02783228711613,30,6,59.38411176700224,74.01998410194673,30,,TS,1858-09-13 12:00:00,1858-09-24 12:00:00,14.5,-35.5,Null Model
1858260N18319,148.42724167044673,211.27013113664984,30,6,124.95645028220842,177.09993206092605,30,,TS,1858-09-17 00:00:00,1858-09-24 18:00:00,18.4,-41.4,Null Model
1858305S26053,28.53563473242888,19.92582365749856,20,6,37.50295822309623,38.05979659252787,20,SI,NR,1858-10-31 18:00:00,1858-11-03 06:00:00,-25.5,52.6,Kalman Filter
1858319N12280,56.968104568830306,72.3561652678163,30,6,59.24181250846618,71.45911066701835,30,,TS,1858-11-14 12:00:00,1858-11-18 12:00:00,11.8,-79.6,Kalman Filter
1859021S14077,32.20474043573743,36.35757347830415,30,6,40.01148348041506,45.36777076837276,30,SI,NR,1859-01-21 06:00:00,1859-01-25 06:00:00,-14.2,77.3,Kalman Filter
1859070S05088,116.21835595523892,158.53505864267242,30,6,109.95347573719197,149.8659378196787,30,SI,NR,1859-03-11 06:00:00,1859-03-17 06:00:00,-4.5,88.4,Null Model
1859152S05087,32.77800176397018,38.603785223519566,20,6,27.622103100074458,25.426838760808124,20,SI,NR,1859-05-31 18:00:00,1859-06-03 06:00:00,-4.7,87.0,Null Model
1859162S04088,62.09467603754099,76.62998466192387,30,6,66.23496086866864,75.27697886519721,30,SI,NR,1859-06-11 06:00:00,1859-06-15 06:00:00,-4.4,87.6,Kalman Filter
1859224N28287,77.27365931928512,95.19772552005354,25,6,85.03344482285922,99.9930243996083,25,,TS,1859-08-11 12:00:00,1859-08-19 18:00:00,28.2,-73.2,Kalman Filter
1859253N21275,234.2678504001787,318.7232031047886,30,6,183.14603617387124,252.42159791156192,30,,TS,1859-09-09 12:00:00,1859-09-22 12:00:00,20.7,-85.5,Null Model
1859272N15322,26.254316335172582,43.058240877857564,30,6,35.53393592373838,43.52525568249213,30,,TS,1859-09-28 12:00:00,1859-10-07 12:00:00,14.9,-38.3,Kalman Filter
