sid,start_time,end_time,observation_count,lat_first,lat_min,lat_max,lon_first,lon_min,lon_max,basin,nature,storm_speed_mean,storm_dir_mean,season,duration_days,basin_name,storm_type
1842298N11080,1842-10-25 03:00:00,1842-11-02 03:00:00,65,10.9,10.8,13.6,80.3,59.7,80.3,NI,NR,6.430769230769231,279.0,1842,8.0,North Indian,NR
1845336N10074,1845-12-02 03:00:00,1845-12-05 03:00:00,25,10.0,10.0,13.3,74.3,71.5,74.3,NI,NR,4.0,307.2,1845,3.0,North Indian,NR
1848011S09079,1848-01-11 06:00:00,1848-01-17 06:00:00,49,-9.0,-30.2,-9.0,79.0,67.2,80.8,SI,NR,14.204081632653061,187.3469387755102,1848,6.0,South Indian,NR
1848011S09080,1848-01-11 06:00:00,1848-01-22 06:00:00,89,-8.6,-30.8,-8.6,79.8,66.9,81.6,SI,NR,8.134831460674157,181.51685393258427,1848,11.0,South Indian,NR
1848011S15057,1848-01-11 06:00:00,1848-01-16 06:00:00,41,-15.2,-34.3,-15.1,57.4,46.7,57.7,SI,NR,12.439024390243903,189.26829268292684,1848,5.0,South Indian,NR
1848011S16057,1848-01-11 06:00:00,1848-01-13 06:00:00,17,-15.8,-32.9,-15.8,56.8,46.8,56.8,SI,NR,27.235294117647058,188.23529411764707,1848,2.0,South Indian,NR
1848061S12075,1848-02-29 18:00:00,1848-03-07 06:00:00,53,-11.5,-34.5,-11.3,75.0,56.1,75.7,SI,NR,16.37735849056604,187.16981132075472,1848,6.5,South Indian,NR
1848112S07084,1848-04-21 06:00:00,1848-04-26 06:00:00,41,-6.7,-14.5,-6.7,83.8,82.0,88.3,SI,NR,5.780487804878049,161.09756097560975,1848,5.0,South Indian,NR
1848112S07444,1848-04-20 18:00:00,1848-04-24 06:00:00,29,-7.1,-13.9,-7.1,83.7,82.0,87.0,SI,NR,6.9655172413793105,163.10344827586206,1848,3.5,South Indian,NR
1851080S15062,1851-03-20 18:00:00,1851-03-26 06:00:00,45,-15.0,-19.0,-15.0,62.4,49.0,62.4,SI,NR,6.2,252.77777777777777,1851,5.5,South Indian,NR
1851080S15063,1851-03-21 06:00:00,1851-03-28 06:00:00,57,-15.1,-19.4,-15.1,62.5,48.1,62.5,SI,NR,5.105263157894737,249.91228070175438,1851,7.0,South Indian,NR
1851080S21060,1851-03-21 06:00:00,1851-03-23 06:00:00,17,-21.2,-26.8,-21.2,59.5,59.5,61.6,SI,NR,7.470588235294118,92.6470588235294,1851,2.0,South Indian,NR
1851080S21420,1851-03-20 18:00:00,1851-03-22 06:00:00,13,-21.3,-26.5,-21.3,59.5,59.5,61.3,SI,NR,9.384615384615385,137.30769230769232,1851,1.5,South Indian,NR
